,year,Origen,Destino,Refugiados,Busca_asilo,Rechazados,Desplazamiento_interno,Rechazados_interno
91,2010,Cameroon,Argentina,7,14,0,0,0
92,2010,Congo,Argentina,9,13,0,0,0
93,2010,Dem. Rep. of the Congo,Argentina,6,0,0,0,0
94,2010,Colombia,Argentina,403,203,0,0,0
95,2010,Costa Rica,Argentina,6,0,0,0,0
96,2010,Cuba,Argentina,338,29,0,0,0
97,2010,Dominican Rep.,Argentina,0,119,0,0,0
98,2010,Ecuador,Argentina,13,5,0,0,0
99,2010,Ethiopia,Argentina,5,0,0,0,0
100,2010,Georgia,Argentina,5,0,0,0,0
101,2010,Ghana,Argentina,27,12,0,0,0
102,2010,Guinea-Bissau,Argentina,18,0,0,0,0
103,2010,Guinea,Argentina,6,0,0,0,0
104,2010,Haiti,Argentina,47,36,0,0,0
105,2010,Honduras,Argentina,0,5,0,0,0
106,2010,Hungary,Argentina,0,9,0,0,0
107,2010,Cote d'Ivoire,Argentina,22,9,0,0,0
108,2010,India,Argentina,36,34,0,0,0
109,2010,Iran (Islamic Rep. of),Argentina,22,0,0,0,0
110,2010,Iraq,Argentina,27,0,0,0,0
111,2010,Kazakhstan,Argentina,22,5,0,0,0
112,2010,Kyrgyzstan,Argentina,5,0,0,0,0
113,2010,Liberia,Argentina,68,15,0,0,0
114,2010,Sri Lanka,Argentina,34,0,0,0,0
115,2010,Mali,Argentina,14,0,0,0,0
116,2010,Nigeria,Argentina,51,28,0,0,0
117,2010,Pakistan,Argentina,41,0,0,0,0
118,2010,Paraguay,Argentina,5,8,0,0,0
119,2010,Peru,Argentina,585,0,0,0,0
120,2010,Romania,Argentina,54,0,0,0,0
121,2010,South Africa,Argentina,5,0,0,0,0
122,2010,Russian Federation,Argentina,60,0,0,0,0
123,2010,El Salvador,Argentina,6,5,0,0,0
124,2010,Serbia and Kosovo: S/RES/1244 (1999),Argentina,18,0,0,0,0
125,2010,Senegal,Argentina,65,0,0,0,0
126,2010,Sierra Leone,Argentina,59,0,0,0,0
127,2010,Somalia,Argentina,5,0,0,0,0
128,2010,Spain,Argentina,0,5,0,0,0
129,2010,Sudan,Argentina,5,0,0,0,0
130,2010,Türkiye,Argentina,10,0,0,0,0
131,2010,Ukraine,Argentina,19,0,0,0,0
132,2010,United States of America,Argentina,5,0,0,0,0
133,2010,Venezuela (Bolivarian Republic of),Argentina,0,5,0,0,0
134,2010,Stateless,Argentina,5,5,0,0,0
135,2010,Unknown,Argentina,549,332,0,0,0
136,2010,Armenia,Armenia,0,0,0,0,0
137,2010,Azerbaijan,Armenia,2347,0,0,0,0
138,2010,Georgia,Armenia,11,0,0,0,0
139,2010,Iran (Islamic Rep. of),Armenia,22,5,0,0,0
140,2010,Iraq,Armenia,888,0,0,0,0
141,2010,Israel,Armenia,5,0,0,0,0
142,2010,Lebanon,Armenia,14,0,0,0,0
143,2010,Türkiye,Armenia,5,9,0,0,0
144,2010,Stateless,Armenia,0,0,0,0,0
145,2010,Afghanistan,Australia,5518,68,0,0,0
146,2010,Albania,Australia,46,20,0,0,0
147,2010,Algeria,Australia,20,0,0,0,0
148,2010,Angola,Australia,5,0,0,0,0
149,2010,Egypt,Australia,350,256,0,0,0
150,2010,Armenia,Australia,7,0,0,0,0
151,2010,Azerbaijan,Australia,5,0,0,0,0
152,2010,Bahrain,Australia,22,8,0,0,0
153,2010,Burundi,Australia,31,0,0,0,0
154,2010,Bangladesh,Australia,252,70,0,0,0
155,2010,Belarus,Australia,16,0,0,0,0
156,2010,Brazil,Australia,8,5,0,0,0
157,2010,Bosnia and Herzegovina,Australia,6,0,15,0,0
158,2010,Bulgaria,Australia,5,0,0,0,0
159,2010,Cambodia,Australia,16,5,0,0,0
160,2010,China,Australia,2201,534,0,0,0
161,2010,Cameroon,Australia,51,5,0,0,0
162,2010,Congo,Australia,19,0,0,0,0
163,2010,Dem. Rep. of the Congo,Australia,27,5,0,0,0
164,2010,Colombia,Australia,148,22,0,0,0
165,2010,Cuba,Australia,6,0,0,0,0
166,2010,Czechia,Australia,0,5,0,0,0
167,2010,Ecuador,Australia,5,0,0,0,0
168,2010,Eritrea,Australia,67,21,0,0,0
169,2010,Ethiopia,Australia,168,20,0,0,0
170,2010,Fiji,Australia,144,197,0,0,0
171,2010,France,Australia,5,0,0,0,0
172,2010,Gambia,Australia,5,0,0,0,0
173,2010,Palestinian,Australia,172,26,0,0,0
174,2010,United Kingdom of Great Britain and Northern Ireland,Australia,0,6,0,0,0
175,2010,Georgia,Australia,9,0,0,0,0
176,2010,Ghana,Australia,28,16,0,0,0
177,2010,Greece,Australia,5,0,0,0,0
178,2010,Guinea,Australia,10,0,0,0,0
179,2010,Croatia,Australia,5,0,0,0,0
180,2010,Cote d'Ivoire,Australia,7,0,0,0,0
181,2010,India,Australia,139,228,0,0,0
182,2010,Indonesia,Australia,231,91,0,0,0
183,2010,Iran (Islamic Rep. of),Australia,1327,318,0,0,0
184,2010,Iraq,Australia,3791,196,0,0,0
185,2010,Israel,Australia,31,7,0,0,0
186,2010,Jordan,Australia,69,23,0,0,0
187,2010,Japan,Australia,0,5,0,0,0
188,2010,Kazakhstan,Australia,5,5,0,0,0
189,2010,Kenya,Australia,38,12,0,0,0
190,2010,Kyrgyzstan,Australia,21,0,0,0,0
191,2010,Rep. of Korea,Australia,24,40,0,0,0
192,2010,Dem. People's Rep. of Korea,Australia,25,33,0,0,0
193,2010,Kuwait,Australia,22,5,0,0,0
194,2010,Lao People's Dem. Rep.,Australia,5,0,0,0,0
195,2010,Liberia,Australia,18,0,0,0,0
196,2010,Libya,Australia,9,12,0,0,0
197,2010,Lebanon,Australia,209,134,0,0,0
198,2010,Sri Lanka,Australia,2373,253,0,0,0
199,2010,Latvia,Australia,6,0,0,0,0
200,2010,Mauritania,Australia,5,0,0,0,0
201,2010,Mali,Australia,5,0,0,0,0
202,2010,Malaysia,Australia,43,86,0,0,0
203,2010,Mongolia,Australia,43,5,0,0,0
204,2010,Morocco,Australia,13,0,0,0,0
205,2010,Mauritius,Australia,0,9,0,0,0
206,2010,Myanmar,Australia,444,34,0,0,0
207,2010,Nepal,Australia,154,100,0,0,0
208,2010,Nigeria,Australia,101,19,0,0,0
209,2010,Pakistan,Australia,747,320,0,0,0
210,2010,Peru,Australia,6,0,0,0,0
211,2010,Philippines,Australia,14,13,0,0,0
212,2010,Papua New Guinea,Australia,87,43,0,0,0
213,2010,Romania,Australia,18,0,0,0,0
214,2010,South Africa,Australia,25,11,0,0,0
215,2010,Russian Federation,Australia,118,5,0,0,0
216,2010,Rwanda,Australia,23,0,0,0,0
217,2010,El Salvador,Australia,5,0,0,0,0
218,2010,Saudi Arabia,Australia,22,5,0,0,0
219,2010,Serbia and Kosovo: S/RES/1244 (1999),Australia,93,0,0,0,0
220,2010,Senegal,Australia,5,0,0,0,0
221,2010,Singapore,Australia,5,0,0,0,0
222,2010,Sierra Leone,Australia,33,5,0,0,0
223,2010,Solomon Islands,Australia,32,0,0,0,0
224,2010,Somalia,Australia,74,15,0,0,0
225,2010,Viet Nam,Australia,52,53,0,0,0
226,2010,Sudan,Australia,57,5,0,0,0
227,2010,Syrian Arab Rep.,Australia,68,16,0,0,0
228,2010,United Rep. of Tanzania,Australia,11,0,0,0,0
229,2010,Thailand,Australia,13,17,0,0,0
230,2010,Timor-Leste,Australia,8,0,0,0,0
231,2010,Togo,Australia,5,0,0,0,0
232,2010,Tonga,Australia,5,10,0,0,0
233,2010,Tunisia,Australia,15,0,0,0,0
234,2010,Türkiye,Australia,224,99,0,0,0
235,2010,Uganda,Australia,33,5,0,0,0
236,2010,Ukraine,Australia,42,10,0,0,0
237,2010,United States of America,Australia,8,0,0,0,0
238,2010,Uzbekistan,Australia,29,5,0,0,0
239,2010,Venezuela (Bolivarian Republic of),Australia,7,0,0,0,0
240,2010,Yemen,Australia,6,0,0,0,0
241,2010,Zambia,Australia,5,0,0,0,0
242,2010,Zimbabwe,Australia,775,105,0,0,0
243,2010,Stateless,Australia,347,30,0,0,0
244,2010,Tibetan,Australia,7,0,0,0,0
245,2010,Unknown,Australia,226,38,0,0,0
246,2010,Afghanistan,Austria,7359,2696,0,0,0
247,2010,Albania,Austria,180,174,0,0,0
248,2010,Algeria,Austria,33,247,0,0,0
249,2010,Angola,Austria,173,25,0,0,0
250,2010,Egypt,Austria,40,129,0,0,0
251,2010,Armenia,Austria,855,881,0,0,0
252,2010,Azerbaijan,Austria,381,196,0,0,0
253,2010,Burundi,Austria,24,5,0,0,0
254,2010,Benin,Austria,5,15,0,0,0
255,2010,Bangladesh,Austria,64,355,0,0,0
256,2010,Burkina Faso,Austria,7,8,0,0,0
257,2010,Belarus,Austria,96,75,0,0,0
258,2010,Bolivia (Plurinational State of),Austria,15,16,0,0,0
259,2010,Bosnia and Herzegovina,Austria,211,267,69,0,0
260,2010,Bulgaria,Austria,5,12,0,0,0
261,2010,Chad,Austria,5,5,0,0,0
262,2010,China,Austria,225,535,0,0,0
263,2010,Cameroon,Austria,199,98,0,0,0
264,2010,Congo,Austria,102,21,0,0,0
265,2010,Dem. Rep. of the Congo,Austria,427,100,0,0,0
266,2010,Colombia,Austria,22,5,0,0,0
267,2010,Cuba,Austria,21,0,0,0,0
268,2010,Eritrea,Austria,63,19,0,0,0
269,2010,Estonia,Austria,5,0,0,0,0
270,2010,Ethiopia,Austria,127,49,0,0,0
271,2010,Gabon,Austria,0,7,0,0,0
272,2010,Gambia,Austria,71,112,0,0,0
273,2010,Georgia,Austria,730,643,0,0,0
274,2010,Ghana,Austria,35,39,0,0,0
275,2010,Guinea-Bissau,Austria,0,34,0,0,0
276,2010,Guatemala,Austria,5,0,0,0,0
277,2010,Guinea,Austria,47,113,0,0,0
278,2010,Croatia,Austria,8,9,0,0,0
279,2010,Cote d'Ivoire,Austria,28,38,0,0,0
280,2010,India,Austria,43,588,0,0,0
281,2010,Iran (Islamic Rep. of),Austria,2357,577,0,0,0
282,2010,Iraq,Austria,2320,912,0,0,0
283,2010,Israel,Austria,0,14,0,0,0
284,2010,Jordan,Austria,9,25,0,0,0
285,2010,Kazakhstan,Austria,34,53,0,0,0
286,2010,Kenya,Austria,11,35,0,0,0
287,2010,Kyrgyzstan,Austria,217,141,0,0,0
288,2010,Liberia,Austria,27,38,0,0,0
289,2010,Libya,Austria,0,6,0,0,0
290,2010,Lebanon,Austria,36,122,0,0,0
291,2010,Sri Lanka,Austria,31,45,0,0,0
292,2010,Mauritania,Austria,6,5,0,0,0
293,2010,North Macedonia,Austria,161,327,0,0,0
294,2010,Rep. of Moldova,Austria,137,97,0,0,0
295,2010,Mali,Austria,0,31,0,0,0
296,2010,Mongolia,Austria,131,632,0,0,0
297,2010,Morocco,Austria,14,83,0,0,0
298,2010,Montenegro,Austria,12,11,0,0,0
299,2010,Myanmar,Austria,7,7,0,0,0
300,2010,Nepal,Austria,35,73,0,0,0
301,2010,Niger,Austria,0,5,0,0,0
302,2010,Nigeria,Austria,228,1200,0,0,0
303,2010,Pakistan,Austria,69,494,0,0,0
304,2010,Peru,Austria,5,0,0,0,0
305,2010,Philippines,Austria,6,8,0,0,0
306,2010,Romania,Austria,40,47,0,0,0
307,2010,South Africa,Austria,0,6,0,0,0
308,2010,Russian Federation,Austria,17229,3870,0,0,0
309,2010,Rwanda,Austria,54,10,0,0,0
310,2010,Serbia and Kosovo: S/RES/1244 (1999),Austria,3353,2797,0,0,0
311,2010,Senegal,Austria,5,48,0,0,0
312,2010,Sierra Leone,Austria,46,37,0,0,0
313,2010,Somalia,Austria,1093,407,0,0,0
314,2010,Viet Nam,Austria,42,9,0,0,0
315,2010,Sudan,Austria,191,88,0,0,0
316,2010,Slovakia,Austria,5,0,0,0,0
317,2010,Syrian Arab Rep.,Austria,505,471,0,0,0
318,2010,Tajikistan,Austria,44,32,0,0,0
319,2010,Turkmenistan,Austria,14,0,0,0,0
320,2010,Togo,Austria,27,6,0,0,0
321,2010,Tunisia,Austria,13,43,0,0,0
322,2010,Türkiye,Austria,1288,1007,0,0,0
323,2010,Uganda,Austria,18,28,0,0,0
324,2010,Ukraine,Austria,282,238,0,0,0
325,2010,Uzbekistan,Austria,117,79,0,0,0
326,2010,Yemen,Austria,9,0,0,0,0
327,2010,Zimbabwe,Austria,18,18,0,0,0
328,2010,Stateless,Austria,443,278,0,0,0
329,2010,Unknown,Austria,313,3626,0,0,0
330,2010,Afghanistan,Azerbaijan,718,0,10,0,0
331,2010,Armenia,Azerbaijan,5,5,0,0,0
332,2010,Azerbaijan,Azerbaijan,0,0,0,592860,0
333,2010,Palestinian,Azerbaijan,11,0,0,0,0
334,2010,Iran (Islamic Rep. of),Azerbaijan,104,0,0,0,0
335,2010,Iraq,Azerbaijan,23,0,0,0,0
336,2010,Pakistan,Azerbaijan,5,5,0,0,0
337,2010,Russian Federation,Azerbaijan,1028,5,19,0,0
338,2010,Stateless,Azerbaijan,0,0,0,0,0
339,2010,Iraq,Bahrain,165,66,0,0,0
340,2010,Burundi,Burundi,0,0,0,157167,0
341,2010,Benin,Burundi,6,0,0,0,0
342,2010,Dem. Rep. of the Congo,Burundi,28957,11563,1101,0,0
343,2010,Comoros,Burundi,0,5,0,0,0
344,2010,Mauritania,Burundi,8,0,0,0,0
345,2010,Rwanda,Burundi,366,461,0,0,0
346,2010,Somalia,Burundi,17,30,0,0,0
347,2010,Uganda,Burundi,10,0,9,0,0
348,2010,Stateless,Burundi,0,0,0,0,0
349,2010,Afghanistan,Belgium,501,0,0,0,0
350,2010,Albania,Belgium,216,0,0,0,0
351,2010,Algeria,Belgium,35,0,0,0,0
352,2010,Angola,Belgium,117,0,0,0,0
353,2010,Egypt,Belgium,9,0,0,0,0
354,2010,Armenia,Belgium,61,0,0,0,0
355,2010,Azerbaijan,Belgium,26,0,0,0,0
356,2010,Burundi,Belgium,255,0,0,0,0
357,2010,Bangladesh,Belgium,10,0,0,0,0
358,2010,Burkina Faso,Belgium,24,0,0,0,0
359,2010,Belarus,Belgium,76,0,0,0,0
360,2010,Bolivia (Plurinational State of),Belgium,5,0,0,0,0
361,2010,Bosnia and Herzegovina,Belgium,67,0,5,0,0
362,2010,Bulgaria,Belgium,24,0,0,0,0
363,2010,Cambodia,Belgium,13,0,0,0,0
364,2010,Central African Rep.,Belgium,18,0,0,0,0
365,2010,Chad,Belgium,49,0,0,0,0
366,2010,China,Belgium,441,0,0,0,0
367,2010,Chile,Belgium,59,0,0,0,0
368,2010,Cameroon,Belgium,266,0,0,0,0
369,2010,Congo,Belgium,31,0,0,0,0
370,2010,Dem. Rep. of the Congo,Belgium,689,0,0,0,0
371,2010,Colombia,Belgium,33,0,0,0,0
372,2010,Czechia,Belgium,11,0,0,0,0
373,2010,Djibouti,Belgium,68,0,0,0,0
374,2010,Eritrea,Belgium,36,0,0,0,0
375,2010,Estonia,Belgium,5,0,0,0,0
376,2010,Ethiopia,Belgium,87,0,0,0,0
377,2010,Palestinian,Belgium,122,0,0,0,0
378,2010,Georgia,Belgium,19,0,0,0,0
379,2010,Germany,Belgium,5,0,0,0,0
380,2010,Ghana,Belgium,9,0,0,0,0
381,2010,Guinea-Bissau,Belgium,9,0,0,0,0
382,2010,Guatemala,Belgium,5,0,0,0,0
383,2010,Guinea,Belgium,979,0,0,0,0
384,2010,Haiti,Belgium,6,0,0,0,0
385,2010,Croatia,Belgium,8,0,0,0,0
386,2010,Hungary,Belgium,88,0,0,0,0
387,2010,Cote d'Ivoire,Belgium,185,0,0,0,0
388,2010,India,Belgium,5,0,0,0,0
389,2010,Iran (Islamic Rep. of),Belgium,341,0,0,0,0
390,2010,Iraq,Belgium,962,0,0,0,0
391,2010,Jordan,Belgium,17,0,0,0,0
392,2010,Kazakhstan,Belgium,13,0,0,0,0
393,2010,Kenya,Belgium,18,0,0,0,0
394,2010,Kyrgyzstan,Belgium,10,0,0,0,0
395,2010,Dem. People's Rep. of Korea,Belgium,22,0,0,0,0
396,2010,Lao People's Dem. Rep.,Belgium,16,0,0,0,0
397,2010,Liberia,Belgium,21,0,0,0,0
398,2010,Libya,Belgium,10,0,0,0,0
399,2010,Lebanon,Belgium,62,0,0,0,0
400,2010,Sri Lanka,Belgium,212,0,0,0,0
401,2010,Lithuania,Belgium,17,0,0,0,0
402,2010,Latvia,Belgium,5,0,0,0,0
403,2010,Mauritania,Belgium,128,0,0,0,0
404,2010,North Macedonia,Belgium,22,0,0,0,0
405,2010,Rep. of Moldova,Belgium,5,0,0,0,0
406,2010,Mali,Belgium,5,0,0,0,0
407,2010,Morocco,Belgium,16,0,0,0,0
408,2010,Myanmar,Belgium,11,0,0,0,0
409,2010,Nepal,Belgium,19,0,0,0,0
410,2010,Niger,Belgium,15,0,0,0,0
411,2010,Nigeria,Belgium,37,0,0,0,0
412,2010,Pakistan,Belgium,45,0,0,0,0
413,2010,Peru,Belgium,5,0,0,0,0
414,2010,Poland,Belgium,274,0,0,0,0
415,2010,Romania,Belgium,40,0,0,0,0
416,2010,Russian Federation,Belgium,2964,0,0,0,0
417,2010,Rwanda,Belgium,981,0,0,0,0
418,2010,Serbia and Kosovo: S/RES/1244 (1999),Belgium,1040,0,0,0,0
419,2010,Senegal,Belgium,75,0,0,0,0
420,2010,Sierra Leone,Belgium,30,0,0,0,0
421,2010,Somalia,Belgium,117,0,0,0,0
422,2010,Spain,Belgium,5,0,0,0,0
423,2010,Viet Nam,Belgium,59,0,0,0,0
424,2010,Sudan,Belgium,63,0,0,0,0
425,2010,Syrian Arab Rep.,Belgium,229,0,0,0,0
426,2010,United Rep. of Tanzania,Belgium,28,0,0,0,0
427,2010,Togo,Belgium,123,0,0,0,0
428,2010,Tunisia,Belgium,11,0,0,0,0
429,2010,Türkiye,Belgium,510,0,0,0,0
430,2010,Uganda,Belgium,13,0,0,0,0
431,2010,Ukraine,Belgium,86,0,0,0,0
432,2010,Uruguay,Belgium,5,0,0,0,0
433,2010,Uzbekistan,Belgium,33,0,0,0,0
434,2010,Yemen,Belgium,5,0,0,0,0
435,2010,Stateless,Belgium,0,0,0,0,0
436,2010,Tibetan,Belgium,16,0,0,0,0
437,2010,Unknown,Belgium,4478,18288,0,0,0
438,2010,Angola,Benin,5,0,0,0,0
439,2010,Burundi,Benin,23,0,10,0,0
440,2010,Central African Rep.,Benin,11,0,0,0,0
441,2010,Chad,Benin,214,6,0,0,0
442,2010,Cameroon,Benin,12,0,0,0,0
443,2010,Congo,Benin,271,0,0,0,0
444,2010,Dem. Rep. of the Congo,Benin,380,35,6,0,0
445,2010,Equatorial Guinea,Benin,11,0,0,0,0
446,2010,Guinea,Benin,7,0,0,0,0
447,2010,Cote d'Ivoire,Benin,57,0,9,0,0
448,2010,Iraq,Benin,6,0,0,0,0
449,2010,Liberia,Benin,5,0,0,0,0
450,2010,Niger,Benin,0,5,0,0,0
451,2010,Nigeria,Benin,63,0,0,0,0
452,2010,Rwanda,Benin,141,7,0,0,0
453,2010,Somalia,Benin,5,0,0,0,0
454,2010,Viet Nam,Benin,5,0,0,0,0
455,2010,Sudan,Benin,8,5,0,0,0
456,2010,Togo,Benin,5912,35,20,0,0
457,2010,Iran (Islamic Rep. of),Bangladesh,5,0,0,0,0
458,2010,Iraq,Bangladesh,5,0,0,0,0
459,2010,Sri Lanka,Bangladesh,5,0,0,0,0
460,2010,Myanmar,Bangladesh,229226,0,0,0,0
461,2010,Somalia,Bangladesh,15,0,0,0,0
462,2010,Cuba,Bahamas,27,0,0,0,0
463,2010,Haiti,Bahamas,0,8,0,0,0
464,2010,Algeria,Burkina Faso,0,5,0,0,0
465,2010,Burundi,Burkina Faso,61,44,0,0,0
466,2010,Central African Rep.,Burkina Faso,0,24,0,0,0
467,2010,Chad,Burkina Faso,170,83,0,0,0
468,2010,Cameroon,Burkina Faso,8,21,0,0,0
469,2010,Congo,Burkina Faso,98,67,0,0,0
470,2010,Dem. Rep. of the Congo,Burkina Faso,42,52,8,0,0
471,2010,Guinea,Burkina Faso,5,5,0,0,0
472,2010,Cote d'Ivoire,Burkina Faso,21,98,0,0,0
473,2010,Sri Lanka,Burkina Faso,0,5,0,0,0
474,2010,Mali,Burkina Faso,5,0,0,0,0
475,2010,Niger,Burkina Faso,0,9,0,0,0
476,2010,Nigeria,Burkina Faso,0,20,0,0,0
477,2010,Rwanda,Burkina Faso,77,28,0,0,0
478,2010,Viet Nam,Burkina Faso,5,0,0,0,0
479,2010,Sudan,Burkina Faso,6,0,0,0,0
480,2010,Togo,Burkina Faso,32,70,0,0,0
481,2010,Afghanistan,Belarus,417,55,0,0,0
482,2010,Armenia,Belarus,5,0,0,0,0
483,2010,Azerbaijan,Belarus,25,0,0,0,0
484,2010,Ethiopia,Belarus,10,0,0,0,0
485,2010,Palestinian,Belarus,5,0,0,0,0
486,2010,Georgia,Belarus,96,7,5,0,0
487,2010,Iran (Islamic Rep. of),Belarus,14,0,0,0,0
488,2010,Tajikistan,Belarus,15,0,0,0,0
489,2010,Stateless,Belarus,0,0,0,0,0
490,2010,Chile,Bolivia (Plurinational State of),8,0,0,0,0
491,2010,Colombia,Bolivia (Plurinational State of),127,33,0,0,0
492,2010,Cuba,Bolivia (Plurinational State of),9,0,0,0,0
493,2010,Honduras,Bolivia (Plurinational State of),0,5,0,0,0
494,2010,Iraq,Bolivia (Plurinational State of),16,0,0,0,0
495,2010,Peru,Bolivia (Plurinational State of),515,5,0,0,0
496,2010,Russian Federation,Bolivia (Plurinational State of),5,0,0,0,0
497,2010,Angola,Botswana,512,0,5,0,0
498,2010,Burundi,Botswana,61,17,0,0,0
499,2010,Dem. Rep. of the Congo,Botswana,116,95,0,0,0
500,2010,Eritrea,Botswana,8,0,0,0,0
501,2010,Ethiopia,Botswana,8,5,0,0,0
502,2010,Namibia,Botswana,967,0,28,0,0
503,2010,Rwanda,Botswana,63,10,0,0,0
504,2010,Somalia,Botswana,478,25,0,0,0
505,2010,Sudan,Botswana,10,5,0,0,0
506,2010,Uganda,Botswana,10,22,0,0,0
507,2010,Zimbabwe,Botswana,750,72,77,0,0
508,2010,Afghanistan,Brazil,22,0,0,0,0
509,2010,Algeria,Brazil,7,0,0,0,0
510,2010,Angola,Brazil,1686,17,0,0,0
511,2010,Egypt,Brazil,5,0,0,0,0
512,2010,Argentina,Brazil,11,0,0,0,0
513,2010,Armenia,Brazil,5,0,0,0,0
514,2010,Burundi,Brazil,33,0,0,0,0
515,2010,Bangladesh,Brazil,0,25,0,0,0
516,2010,Bhutan,Brazil,7,0,0,0,0
517,2010,Bolivia (Plurinational State of),Brazil,119,11,0,0,0
518,2010,Bosnia and Herzegovina,Brazil,5,0,0,0,0
519,2010,Central African Rep.,Brazil,5,0,0,0,0
520,2010,China,Brazil,0,5,0,0,0
521,2010,Chile,Brazil,21,0,0,0,0
522,2010,Cameroon,Brazil,6,0,0,0,0
523,2010,Congo,Brazil,8,0,0,0,0
